platform,visits,bounce_rate,avg_time_on_site_sec,page_depth,counters
rutube_web,2,100.0,0.0,1.0,zhk
samokat,2,0.0,624.0,1.0,zhk
sberseller,2,0.0,91.0,2.0,zhk
sp_perfluence,2,100.0,12.0,1.0,zhk
0plusmedia,1,0.0,182.0,1.0,zhk
email,1,0.0,188.0,2.0,zhk
followish,1,0.0,30.0,1.0,zhk
irn,1,100.0,0.0,1.0,zhk
ivi,1,0.0,15.0,1.0,zhk
jsprav,1,0.0,571.0,1.0,zhk
ls_criteo,1,0.0,275.0,1.0,zhk
office,1,100.0,8.0,1.0,zhk
ohmywishes,1,0.0,666.0,4.0,zhk
pr_media,1,0.0,223.0,3.0,zhk
sbol,1,100.0,4.0,1.0,zhk
vkads,1,0.0,5.0,2.0,zhk
yandex_direct,1,0.0,25.0,3.0,zhk
yandex_eda,1,0.0,86.0,2.0,zhk
...,1,0.0,495.0,3.0,commerce
cre,1,0.0,339.0,1.0,commerce
yandex_dostavka,1,0.0,15.0,1.0,commerce
